theta_0,sigma
1.6186897,1.3007314
1.6092604,1.5293462
1.8733255,1.2330457
1.8638504,1.3894973
1.8415227,1.2996327
1.5925299,1.6299057
1.7216318,1.5129576
1.691085,1.4451911
1.7372999,1.4051061
1.7585268,1.4191797
1.7063838,1.572687
1.9890273,1.5094168
2.1392546,1.4851549
1.3392279,1.5463846
2.110049,1.4469693
1.6001319,1.6351366
1.7415875,1.4222995
1.7357259,1.5011522
1.6979766,1.4880384
1.7402253,1.4469115
1.7283748,1.4877814
1.4322785,1.4269748
1.5912035,1.4656041
1.5912035,1.4656041
1.5925413,1.4215341
1.7053916,1.4436369
1.4720669,1.4281449
1.420238,1.3552701
1.5560927,1.4721249
1.6525882,1.1683731
1.8070589,1.4024352
1.5913771,1.4287267
1.5564111,1.4330654
1.7173718,1.4770277
1.6560212,1.3399525
1.6987494,1.35183
1.4444635,1.343294
1.8004845,1.426481
1.6924133,1.5106136
1.2837447,1.4324926
1.2122632,1.4274213
1.9690008,1.4933531
1.7805035,1.2399923
1.2736051,1.4375153
1.4742246,1.5293556
1.6389332,1.4580855
1.6897861,1.3214316
1.7865609,1.3702799
1.6341007,1.5117317
1.3571806,1.520982
1.7413429,1.4355702
1.5386039,1.452286
1.664001,1.3802671
1.6850317,1.4114897
1.4824703,1.3868972
1.668103,1.447017
1.5846041,1.3083344
1.6849926,1.4383347
1.840731,1.5101291
1.3763115,1.379759
1.6403745,1.5767181
1.7890445,1.4356196
1.5466079,1.4072245
1.6011605,1.416813
1.8187305,1.337548
1.8143255,1.5007907
1.7661643,1.3616678
1.8653218,1.4545166
1.4417182,1.5026
1.4835216,1.4877142
1.4583759,1.3673995
1.9710695,1.5236413
1.3404573,1.4579215
1.6646826,1.3225744
1.6840562,1.3202411
1.7050761,1.3002598
1.7010093,1.2979817
1.7662709,1.3691118
1.616582,1.5478475
1.4162104,1.4258382
1.7721705,1.3639649
1.5344566,1.4462261
1.8525113,1.6815199
2.0329492,1.4788549
1.6670176,1.5661893
1.8067597,1.5161611
1.5997921,1.4375399
1.5910062,1.3071365
1.531675,1.2721457
1.8201507,1.4983561
1.8561344,1.4015805
1.5840161,1.5112704
