theta_0,theta_1,sigma
0.22253631,1.5707664,1.1158214
0.25137633,1.2069852,0.94307965
0.18088609,0.8486328,0.9679404
0.3163257,1.0531074,1.211918
0.032550637,1.678437,1.041216
0.29885605,1.6043801,1.1567067
0.28598866,1.4684858,1.1061195
0.88344383,-0.45917764,1.1524904
0.20565689,0.77268857,1.0620764
0.40905303,1.0805123,1.126205
0.31961125,0.9000908,1.0895889
0.19563991,0.82462454,1.0337404
0.3350223,0.84593403,1.2209146
0.417677,0.5947858,1.0106488
0.10087797,0.8852467,1.0517601
0.27748105,1.4540776,1.1722994
0.12906781,0.7226743,1.1721479
-0.0898148,1.3225605,1.0825825
0.35058856,0.9964971,1.0698138
0.2650271,0.5988006,1.1248713
0.42764875,1.2656636,1.1742574
0.19192895,0.74802727,1.1823924
0.60053325,-0.2681101,1.0533656
0.38241073,0.9965371,1.1120005
0.45342067,0.02768426,1.0983138
0.27001047,1.1991107,1.0702885
-0.07594685,1.7498001,1.1267638
-0.13063577,1.9050539,1.1567949
-0.16541709,1.9494258,1.1135184
0.3146336,0.6043608,1.1140561
0.12706864,1.2016537,1.1078005
0.13019355,1.0860609,1.2851024
0.6098708,0.74671155,1.2849157
0.04698832,0.82263696,1.0921023
0.33553177,1.4786813,1.1792789
-0.2087254,1.5167412,1.0961155
0.1711397,1.8713477,1.0014968
0.280099,0.80711967,0.99882
0.2558299,0.37088197,1.1670172
0.4198595,1.11011,1.0070591
0.5089248,0.25378153,1.18184
0.4494961,0.8780657,0.9743973
0.3879733,0.25630105,1.285995
0.4820884,-0.023404911,1.0152829
0.4820884,-0.023404911,1.0152829
-0.47380614,3.1511807,1.2680285
-0.14920802,2.6088524,1.2720885
0.0244873,2.1239595,1.2435555
-0.118723355,1.964917,1.110639
0.42440003,0.21867396,0.99241203
0.03977776,1.8620346,1.1967965
-0.03191923,1.0440595,0.9776714
0.35389748,0.699584,1.0846192
0.46141335,0.31728894,1.0748544
0.32372642,1.083196,1.1347444
0.205119,0.8835119,1.003723
0.14422515,1.8023214,1.1978244
0.16806303,1.6224833,1.278209
0.036858052,1.1699848,0.9450352
0.22206974,1.3628292,1.3152449
0.18152307,1.6244894,1.2593266
0.43055344,0.06897709,1.0867645
0.5651281,0.47663024,1.1611059
0.4916199,0.044302195,1.2558951
0.14545378,1.4668888,0.96684986
-0.017616259,1.1471953,1.0396558
0.37355697,-0.4786436,1.3835576
-0.24718732,1.3722188,1.0756879
0.7501995,-0.63824075,1.2475185
0.7674219,-0.09282985,1.2861034
0.6292765,-0.04114118,1.1958275
0.4943914,-0.39033818,1.1778339
-0.04336419,2.0969164,1.3789936
0.23058946,0.95083773,1.1726415
0.29833174,0.99067485,1.1876915
0.15461959,1.0577844,1.1618986
0.15461959,1.0577844,1.1618986
0.6094729,0.45346463,1.2467502
0.7539185,0.18481924,0.877871
0.64424735,0.11807728,0.9281192
0.4298301,0.4868945,0.9828174
0.43263462,0.75825876,1.3231053
0.24923556,1.1880829,1.0870893
0.18543544,1.4202693,1.1257312
0.15756963,0.99995947,1.1897925
0.087487884,0.9305052,1.2047223
0.49651936,0.8416332,1.0988188
0.31538484,-0.006184473,1.1660367
0.5798997,0.4356927,1.19151
0.6117451,0.09798445,0.94747746
0.6067367,0.20772807,0.98520786
0.71700335,-0.09396171,0.9584711
0.48854586,0.48701838,1.1952664
0.64628357,-0.19978145,1.3130893
0.55887693,-0.45978436,1.2871858
0.22711535,0.8267233,1.080716
0.5464561,0.593815,1.1331707
0.39063457,0.6247053,1.0910187
0.47917002,0.85277766,1.0658914
0.016281756,1.8819644,0.8596928
-0.20880857,1.5495534,0.90007657
-0.11469519,1.7407945,0.9196719
0.09174417,1.5633106,0.8663494
0.33885276,0.6730749,0.9684903
0.086379975,1.2453564,1.1850961
0.43151778,0.43535334,0.9908335
0.6436579,0.5026432,1.0150523
0.12144265,1.0734535,1.198018
-0.04385722,1.9594165,1.1796865
0.37638974,0.4278165,0.9769729
0.22644216,1.5684109,1.1179204
0.10740795,0.8107507,1.2622931
0.47813612,-0.24560103,1.0804112
0.6227135,-0.04163209,1.0738938
0.028483924,1.6808164,1.0752716
0.5010388,0.40244755,1.0598532
0.16894384,1.5867274,1.0690808
0.08696371,0.8089956,0.9674063
0.66439486,0.19766061,0.9940757
0.5533763,0.054177925,1.0411484
0.6596535,0.37944907,1.0247259
-0.027071388,1.6944885,1.0837901
-0.17144315,1.491659,1.0954089
0.12998427,0.68489724,1.0542065
0.3391609,0.4315787,1.0817885
0.55002636,0.03608616,1.1006721
0.35700887,0.6752089,1.0790694
0.22143784,1.0598582,1.3269048
0.26138002,0.83093584,1.2298404
0.72741556,-0.68816483,1.1298386
0.4370793,-0.024266563,1.1218779
0.6124405,0.53096634,1.2030927
0.37493277,-0.012981249,1.170332
0.15576756,1.0137901,0.9924013
0.32649964,1.298602,0.95565796
-0.3657142,1.8630784,1.2216767
0.34037915,1.5935585,1.2248769
0.62076074,-0.49839482,1.0044619
-0.25972378,1.9664167,1.0747384
0.091649584,1.1226062,1.0250142
0.2234232,1.0964122,0.9812981
0.36500418,0.8980076,1.0104797
0.25688013,0.90190446,0.97795814
0.16399057,1.1166004,0.9448355
-0.25730976,2.374581,1.2412183
-0.28770548,2.5900493,1.0122933
0.88921434,-0.5417403,0.93109447
0.46870646,0.46582532,1.0320469
0.8074496,-0.48967406,1.3545985
0.17648277,1.143245,1.301033
0.54076594,0.53056866,1.1915839
0.6974093,-0.32012504,1.1565019
0.65519553,0.15375635,1.1238366
0.65519553,0.15375635,1.1238366
0.15667494,1.1631612,1.11312
0.25876725,0.92636853,1.0068072
-0.23988558,2.194848,1.0491059
-0.090505406,1.9863886,1.0501646
0.35144344,1.0266621,1.1668041
0.29670876,0.53591853,1.2413223
0.6049959,0.48929575,1.323148
0.6905797,0.5736264,1.3203166
-0.45737433,1.9503592,1.240986
-0.24295023,2.325441,1.2052505
0.045110524,2.0001962,1.1761454
0.5506642,0.2880527,1.1291504
0.6192171,-0.58869874,0.9362736
-0.16169158,2.3399782,1.2058938
0.033033703,1.7740422,1.0665762
0.35736153,0.58335954,1.1006444
0.012977921,1.8415211,1.1048151
-0.053414945,2.1232734,1.1452116
0.53419423,0.5872171,0.9861094
0.3948625,0.49423477,1.0205134
0.53431904,0.5884986,0.9890919
0.33075875,0.18955365,0.92468625
0.3350208,0.5347241,0.9025407
0.29682583,0.29548326,0.90103745
0.38929212,0.5301704,0.91417223
0.5771873,0.36619362,0.9611306
0.1512096,1.601383,0.99827236
-0.017679542,1.0359879,0.9935422
0.5837748,-0.4831763,1.0906038
-0.17201129,1.5161642,1.2280053
-0.08915485,1.4545169,1.196216
0.28886652,1.4685007,1.015921
0.07014835,1.063519,1.2052897
-0.0136724925,1.600333,1.1088789
0.15045643,0.95304734,1.1832665
0.27874154,1.214435,1.1546015
0.77998793,-0.26435044,1.0582837
0.24265411,0.4939504,0.9885166
0.69266325,0.59878516,1.307469
0.120238796,0.6982672,1.2364558
0.476898,0.9289982,1.2289623
-0.11664116,2.013346,1.1385947
-0.28986982,1.8942116,1.0835272
0.27716538,1.1038219,1.1678709
0.2902636,0.75228333,0.9900607
0.4045205,0.13360742,1.0388789
0.5212363,0.9150887,1.2470835
-0.037815705,1.0112623,1.1306291
0.41987625,1.2198662,1.008475
0.26259908,0.6105566,0.9872216
0.6702843,-0.17778157,1.2281624
0.62551206,-0.46716172,1.228789
0.34599933,0.9804533,1.1730739
0.04235442,0.7580058,1.1656613
-0.39873424,2.0993426,1.048436
-0.022778854,2.5695236,1.0342107
-0.13692258,2.2879062,1.0514145
-0.4385688,1.9963213,1.083715
-0.032677833,1.590676,1.0198507
0.19594418,1.3968855,1.1205153
0.41712123,0.87671816,1.1157807
0.15785751,0.7068425,1.2116995
0.27240202,1.4898783,1.2007756
0.228267,1.5457597,1.1692742
-0.28199232,2.1018355,1.1723925
0.524762,0.053423386,1.1585851
0.4945931,0.35393417,1.0544759
-0.07044934,1.7293055,1.1739911
0.3315435,0.85359377,0.9245266
0.2686937,0.46263322,0.90676457
0.3661948,1.1392382,0.9454648
0.5882827,0.5088948,0.9815
0.06423917,2.031086,1.3403821
0.37153038,0.58601284,1.1314404
0.57317436,0.26308393,1.2271714
0.32225576,0.6505448,1.001428
0.15961444,1.3194468,1.1492141
0.041734677,1.0459906,1.1312292
0.25434896,1.4719675,1.1568987
0.10946824,1.28809,1.1560346
0.3131925,0.6606232,1.0877153
0.18702859,0.7590711,1.1024414
0.28989407,1.0212243,1.1184616
0.13202925,1.5617834,1.0822837
0.1363392,1.6909286,1.0423331
0.4423524,0.61638254,1.095016
