alpha,beta_Dnorm,beta_CEI
-9.629703,5.976907,0.88447255
-9.461111,5.829493,0.79046947
-11.208504,7.5785356,1.3005352
-11.144715,7.7207413,1.2998155
-11.314867,7.3991957,1.3548973
-11.153927,7.4758706,1.386354
-11.153927,7.4758706,1.386354
-11.26897,7.337456,1.374524
-11.037624,7.4088154,1.3481786
-11.07202,7.387557,1.32702
-11.189069,7.405205,1.3628427
-5.985937,0.023471544,1.1597143
-6.1405067,0.13639064,1.2088258
-6.4394727,0.5298061,1.2291164
-6.484536,0.6490362,1.2247827
-7.365822,1.6418091,1.3380022
-8.265021,3.091505,1.3251237
-8.353197,2.980882,1.3307694
-8.264682,3.1565042,1.3217674
-8.4075775,3.2095168,1.3149993
-8.392526,3.3149056,1.3095183
-7.449045,1.9206758,1.2667711
-8.189578,3.4311767,1.2184896
-7.687499,2.9731743,1.1346942
-7.6319656,2.786246,1.1575997
-8.739579,4.6508875,1.009622
-8.721798,4.611868,1.00521
-10.223265,6.3083954,1.1870257
-10.588792,6.521214,1.2458855
-11.139466,7.8342376,1.0366576
-10.958346,7.548457,1.1629401
-9.667877,5.688757,1.1786789
-9.566579,5.6182594,1.0611398
-10.716496,7.2556777,1.1573658
-10.305017,6.416892,1.2503157
-9.615944,4.7836366,1.3669785
-9.401227,4.919834,1.3472382
-10.475164,6.2624516,1.3355037
-8.65558,4.2833385,1.046066
-9.075037,5.097203,1.0398221
-8.999288,4.915876,0.98660785
-10.160382,6.151879,1.2601618
-10.154982,6.1047797,1.255071
-10.1770935,6.731312,0.9852773
-9.276882,4.957234,1.1732346
-9.654152,5.3369217,1.261082
-8.407833,4.019221,1.0262184
-10.883185,7.0934267,1.2812853
-10.802771,7.1088047,1.2882161
-10.536979,6.7989483,1.1071882
-10.549059,6.769161,1.1113372
-8.537778,4.380248,1.042772
-7.7070947,1.8181181,1.4172555
-10.2931595,6.769054,1.1124414
-9.984206,5.9880157,1.2537698
-9.824836,6.2361197,1.0530647
-9.7802,6.2602444,1.053036
-9.783065,6.2509947,1.051152
-8.605133,3.575812,1.32759
-7.762012,2.6484766,1.1746278
-7.7280607,2.9885876,1.1915148
-9.932808,5.799141,1.1627861
-10.563392,6.8590364,1.1024754
-10.312185,6.597854,1.1627365
-10.462933,6.4678206,1.1601623
-10.238544,6.2391205,1.1957103
-9.471124,5.5008645,1.1628555
-9.260366,4.962596,1.1915315
-11.407088,7.535916,1.4368371
-10.211414,6.1134243,1.3194668
